,PanelA_A,PanelA_B,PanelB_A,PanelB_B,PanelC_A,PanelC_B,PanelD_A,PanelD_B,PanelE_A,PanelE_B,PanelF_A,PanelF_B,PanelF_C,PanelF_D,PanelG_A,PanelG_B,PanelG_C,PanelG_D,PanelH_A,PanelH_B,PanelH_C,PanelH_D,PanelH_E,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor1*Sensor1,Sensor1*Sensor2,Sensor1*Sensor3,Sensor1*Sensor4,Sensor1*Sensor5,Sensor1*Sensor6,Sensor1*Sensor7,Sensor1*Sensor8,Sensor2*Sensor2,Sensor2*Sensor3,Sensor2*Sensor4,Sensor2*Sensor5,Sensor2*Sensor6,Sensor2*Sensor7,Sensor2*Sensor8,Sensor3*Sensor3,Sensor3*Sensor4,Sensor3*Sensor5,Sensor3*Sensor6,Sensor3*Sensor7,Sensor3*Sensor8,Sensor4*Sensor4,Sensor4*Sensor5,Sensor4*Sensor6,Sensor4*Sensor7,Sensor4*Sensor8,Sensor5*Sensor5,Sensor5*Sensor6,Sensor5*Sensor7,Sensor5*Sensor8,Sensor6*Sensor6,Sensor6*Sensor7,Sensor6*Sensor8,Sensor7*Sensor7,Sensor7*Sensor8,Sensor8*Sensor8,Target
11,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,30.19,1.76,112.1,1.39,3.0,2.02,0.0,0.73,911.4361000000001,53.1344,3384.299,41.9641,90.57000000000001,60.9838,0.0,22.0387,3.0976,197.296,2.4463999999999997,5.28,3.5552,0.0,1.2848,12566.409999999998,155.819,336.29999999999995,226.44199999999998,0.0,81.833,1.9320999999999997,4.17,2.8078,0.0,1.0147,9.0,6.0600000000000005,0.0,2.19,4.0804,0.0,1.4746,0.0,0.0,0.5328999999999999,3
12,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,26.65,1.79,83.26,1.28,4.0,2.5,0.0,1.0,710.2225,47.7035,2218.879,34.112,106.6,66.625,0.0,26.65,3.2041,149.0354,2.2912,7.16,4.475,0.0,1.79,6932.227600000001,106.57280000000002,333.04,208.15,0.0,83.26,1.6384,5.12,3.2,0.0,1.28,16.0,10.0,0.0,4.0,6.25,0.0,2.5,0.0,0.0,1.0,5
13,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,22.55,1.63,70.0,2.0,1.0,2.8,0.25,0.0,508.50250000000005,36.756499999999996,1578.5,45.1,22.55,63.14,5.6375,0.0,2.6569,114.1,3.26,1.63,4.563999999999999,0.4075,0.0,4900.0,140.0,70.0,196.0,17.5,0.0,4.0,2.0,5.6,0.5,0.0,1.0,2.8,0.25,0.0,7.839999999999999,0.7,0.0,0.0625,0.0,0.0,5
14,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,33.73,1.68,74.89,3.0,1.14,1.0,0.26,0.0,1137.7128999999998,56.666399999999996,2526.0397,101.19,38.45219999999999,33.73,8.7698,0.0,2.8223999999999996,125.81519999999999,5.04,1.9151999999999998,1.68,0.4368,0.0,5608.5121,224.67000000000002,85.37459999999999,74.89,19.4714,0.0,9.0,3.42,3.0,0.78,0.0,1.2995999999999999,1.14,0.2964,0.0,1.0,0.26,0.0,0.06760000000000001,0.0,0.0,5
16,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,17.07,1.71,99.54,2.0,3.0,2.0,1.73,0.05,291.3849,29.1897,1699.1478000000002,34.14,51.21,34.14,29.5311,0.8535,2.9240999999999997,170.2134,3.42,5.13,3.42,2.9583,0.0855,9908.2116,199.08,298.62,199.08,172.20420000000001,4.977,4.0,6.0,4.0,3.46,0.1,9.0,6.0,5.1899999999999995,0.15000000000000002,4.0,3.46,0.1,2.9929,0.08650000000000001,0.0025000000000000005,2
17,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,22.0,1.69,51.11,3.0,3.72,1.77,0.1,0.65,484.0,37.18,1124.42,66.0,81.84,38.94,2.2,14.3,2.8560999999999996,86.3759,5.07,6.2868,2.9913,0.169,1.0985,2612.2320999999997,153.32999999999998,190.1292,90.4647,5.111000000000001,33.2215,9.0,11.16,5.3100000000000005,0.30000000000000004,1.9500000000000002,13.838400000000002,6.5844000000000005,0.37200000000000005,2.418,3.1329000000000002,0.17700000000000002,1.1505,0.010000000000000002,0.065,0.42250000000000004,0
18,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,22.77,1.87,121.53,2.74,2.74,1.82,1.09,0.0,518.4729,42.5799,2767.2381,62.3898,62.3898,41.4414,24.819300000000002,0.0,3.4969000000000006,227.26110000000003,5.123800000000001,5.123800000000001,3.4034000000000004,2.0383000000000004,0.0,14769.5409,332.9922,332.9922,221.18460000000002,132.4677,0.0,7.507600000000001,7.507600000000001,4.986800000000001,2.9866000000000006,0.0,7.507600000000001,4.986800000000001,2.9866000000000006,0.0,3.3124000000000002,1.9838000000000002,0.0,1.1881000000000002,0.0,0.0,3
19,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,34.8,1.69,50.0,2.65,3.8,1.6,0.17,0.1,1211.0399999999997,58.81199999999999,1739.9999999999998,92.21999999999998,132.23999999999998,55.68,5.916,3.48,2.8560999999999996,84.5,4.4784999999999995,6.422,2.704,0.2873,0.169,2500.0,132.5,190.0,80.0,8.5,5.0,7.0225,10.069999999999999,4.24,0.4505,0.265,14.44,6.08,0.646,0.38,2.5600000000000005,0.272,0.16000000000000003,0.028900000000000006,0.017,0.010000000000000002,0
20,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,17.09,1.54,57.26,1.97,2.34,1.71,0.1,1.19,292.0681,26.3186,978.5734,33.6673,39.9906,29.2239,1.709,20.3371,2.3716,88.1804,3.0338,3.6035999999999997,2.6334,0.15400000000000003,1.8326,3278.7075999999997,112.8022,133.98839999999998,97.9146,5.726,68.1394,3.8809,4.6098,3.3687,0.197,2.3443,5.475599999999999,4.001399999999999,0.23399999999999999,2.7845999999999997,2.9240999999999997,0.171,2.0349,0.010000000000000002,0.119,1.4161,5
22,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,18.0,1.84,60.0,3.0,4.0,2.0,2.0,0.0,324.0,33.120000000000005,1080.0,54.0,72.0,36.0,36.0,0.0,3.3856,110.4,5.5200000000000005,7.36,3.68,3.68,0.0,3600.0,180.0,240.0,120.0,120.0,0.0,9.0,12.0,6.0,6.0,0.0,16.0,8.0,8.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0
24,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,22.33,1.6,44.92,2.89,2.33,2.31,1.42,0.0,498.62889999999993,35.728,1003.0636,64.5337,52.0289,51.5823,31.708599999999997,0.0,2.5600000000000005,71.872,4.6240000000000006,3.728,3.696,2.272,0.0,2017.8064000000002,129.8188,104.6636,103.76520000000001,63.7864,0.0,8.3521,6.733700000000001,6.6759,4.1038,0.0,5.4289000000000005,5.3823,3.3085999999999998,0.0,5.3361,3.2802,0.0,2.0164,0.0,0.0,0
26,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,20.25,1.57,41.32,2.39,1.0,1.0,0.0,0.74,410.0625,31.7925,836.73,48.3975,20.25,20.25,0.0,14.985,2.4649,64.8724,3.7523000000000004,1.57,1.57,0.0,1.1618,1707.3424,98.7548,41.32,41.32,0.0,30.5768,5.7121,2.39,2.39,0.0,1.7686000000000002,1.0,1.0,0.0,0.74,1.0,0.0,0.74,0.0,0.0,0.5476,0
27,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.61,1.67,112.88,3.0,3.0,2.99,0.36,0.17,655.8720999999999,42.768699999999995,2890.8568,76.83,76.83,76.57390000000001,9.2196,4.3537,2.7889,188.50959999999998,5.01,5.01,4.9933000000000005,0.6012,0.2839,12741.8944,338.64,338.64,337.51120000000003,40.636799999999994,19.189600000000002,9.0,9.0,8.97,1.08,0.51,9.0,8.97,1.08,0.51,8.940100000000001,1.0764,0.5083000000000001,0.1296,0.061200000000000004,0.028900000000000006,4
29,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,23.44,1.6,44.59,2.59,1.88,1.92,0.42,0.0,549.4336000000001,37.504000000000005,1045.1896000000002,60.7096,44.0672,45.0048,9.8448,0.0,2.5600000000000005,71.34400000000001,4.144,3.008,3.072,0.672,0.0,1988.2681000000002,115.4881,83.8292,85.61280000000001,18.727800000000002,0.0,6.708099999999999,4.869199999999999,4.972799999999999,1.0877999999999999,0.0,3.5343999999999998,3.6095999999999995,0.7896,0.0,3.6864,0.8063999999999999,0.0,0.17639999999999997,0.0,0.0,0
30,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.0,1.79,52.0,3.0,3.0,2.0,1.0,1.0,324.0,32.22,936.0,54.0,54.0,36.0,18.0,18.0,3.2041,93.08,5.37,5.37,3.58,1.79,1.79,2704.0,156.0,156.0,104.0,52.0,52.0,9.0,9.0,6.0,3.0,3.0,9.0,6.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,0
31,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,23.33,1.75,119.44,1.89,3.0,2.0,1.92,0.94,544.2888999999999,40.8275,2786.5352,44.09369999999999,69.99,46.66,44.7936,21.930199999999996,3.0625,209.01999999999998,3.3074999999999997,5.25,3.5,3.36,1.645,14265.9136,225.74159999999998,358.32,238.88,229.32479999999998,112.27359999999999,3.5721,5.67,3.78,3.6287999999999996,1.7765999999999997,9.0,6.0,5.76,2.82,4.0,3.84,1.88,3.6864,1.8047999999999997,0.8835999999999999,3
33,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.95,1.62,72.11,3.0,3.88,2.0,1.0,1.0,359.10249999999996,30.699,1366.4845,56.849999999999994,73.526,37.9,18.95,18.95,2.6244000000000005,116.8182,4.86,6.2856000000000005,3.24,1.62,1.62,5199.8521,216.32999999999998,279.78679999999997,144.22,72.11,72.11,9.0,11.64,6.0,3.0,3.0,15.0544,7.76,3.88,3.88,4.0,2.0,2.0,1.0,1.0,1.0,6
34,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,17.04,1.8,95.42,2.0,3.0,3.0,1.05,0.93,290.36159999999995,30.672,1625.9568,34.08,51.12,51.12,17.892,15.8472,3.24,171.756,3.6,5.4,5.4,1.8900000000000001,1.6740000000000002,9104.9764,190.84,286.26,286.26,100.191,88.7406,4.0,6.0,6.0,2.1,1.86,9.0,9.0,3.1500000000000004,2.79,9.0,3.1500000000000004,2.79,1.1025,0.9765000000000001,0.8649000000000001,6
35,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,23.0,1.64,84.34,2.18,3.0,2.72,2.23,0.07,529.0,37.72,1939.8200000000002,50.14,69.0,62.56,51.29,1.61,2.6895999999999995,138.3176,3.5752,4.92,4.4608,3.6571999999999996,0.1148,7113.235600000001,183.86120000000003,253.02,229.40480000000002,188.0782,5.9038,4.752400000000001,6.540000000000001,5.929600000000001,4.861400000000001,0.1526,9.0,8.16,6.6899999999999995,0.21000000000000002,7.398400000000001,6.065600000000001,0.19040000000000004,4.9729,0.15610000000000002,0.004900000000000001,2
36,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,19.6,1.57,41.71,2.97,1.0,1.13,0.0,0.5,384.1600000000001,30.772000000000002,817.5160000000001,58.21200000000001,19.6,22.148,0.0,9.8,2.4649,65.4847,4.6629000000000005,1.57,1.7741,0.0,0.785,1739.7241000000001,123.87870000000001,41.71,47.132299999999994,0.0,20.855,8.820900000000002,2.97,3.3561,0.0,1.485,1.0,1.13,0.0,0.5,1.2768999999999997,0.0,0.565,0.0,0.0,0.25,0
37,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,20.87,1.69,129.77,3.0,3.0,1.15,1.72,0.96,435.55690000000004,35.2703,2708.2999000000004,62.61,62.61,24.0005,35.8964,20.0352,2.8560999999999996,219.31130000000002,5.07,5.07,1.9434999999999998,2.9068,1.6223999999999998,16840.252900000003,389.31000000000006,389.31000000000006,149.2355,223.20440000000002,124.5792,9.0,9.0,3.4499999999999997,5.16,2.88,9.0,3.4499999999999997,5.16,2.88,1.3224999999999998,1.9779999999999998,1.1039999999999999,2.9583999999999997,1.6512,0.9216,4
38,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,28.99,1.91,129.87,2.21,3.0,1.48,1.11,0.0,840.4200999999999,55.37089999999999,3764.9312999999997,64.0679,86.97,42.9052,32.1789,0.0,3.6481,248.0517,4.2211,5.7299999999999995,2.8268,2.1201000000000003,0.0,16866.2169,287.0127,389.61,192.2076,144.15570000000002,0.0,4.8841,6.63,3.2708,2.4531,0.0,9.0,4.4399999999999995,3.33,0.0,2.1904,1.6428,0.0,1.2321000000000002,0.0,0.0,3
40,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,18.0,1.78,109.21,2.0,1.87,2.44,1.0,0.8,324.0,32.04,1965.78,36.0,33.660000000000004,43.92,18.0,14.4,3.1684,194.3938,3.56,3.3286000000000002,4.3432,1.78,1.4240000000000002,11926.824099999998,218.42,204.2227,266.4724,109.21,87.368,4.0,3.74,4.88,2.0,1.6,3.4969000000000006,4.5628,1.87,1.4960000000000002,5.9536,2.44,1.952,1.0,0.8,0.6400000000000001,2
41,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,19.22,1.81,86.75,2.0,3.0,2.17,0.98,0.14,369.4084,34.788199999999996,1667.3349999999998,38.44,57.66,41.70739999999999,18.8356,2.6908000000000003,3.2761,157.0175,3.62,5.43,3.9277,1.7738,0.2534,7525.5625,173.5,260.25,188.2475,85.015,12.145000000000001,4.0,6.0,4.34,1.96,0.28,9.0,6.51,2.94,0.42000000000000004,4.7089,2.1266,0.3038,0.9603999999999999,0.13720000000000002,0.019600000000000003,5
43,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,21.0,1.63,60.0,3.0,3.0,2.0,2.0,0.0,441.0,34.23,1260.0,63.0,63.0,42.0,42.0,0.0,2.6569,97.8,4.89,4.89,3.26,3.26,0.0,3600.0,180.0,180.0,120.0,120.0,0.0,9.0,9.0,6.0,6.0,0.0,9.0,6.0,6.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,1
44,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,29.0,1.67,89.05,1.9,3.0,1.19,0.01,0.0,841.0,48.43,2582.45,55.099999999999994,87.0,34.51,0.29,0.0,2.7889,148.71349999999998,3.1729999999999996,5.01,1.9872999999999998,0.0167,0.0,7929.902499999999,169.195,267.15,105.9695,0.8905,0.0,3.61,5.699999999999999,2.2609999999999997,0.019,0.0,9.0,3.57,0.03,0.0,1.4161,0.011899999999999999,0.0,0.0001,0.0,0.0,2
45,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,37.97,1.56,80.0,2.57,2.46,1.57,0.36,0.0,1441.7208999999998,59.233200000000004,3037.6,97.5829,93.4062,59.6129,13.669199999999998,0.0,2.4336,124.80000000000001,4.0092,3.8376,2.4492000000000003,0.5616,0.0,6400.0,205.6,196.8,125.60000000000001,28.799999999999997,0.0,6.604899999999999,6.3222,4.0348999999999995,0.9251999999999999,0.0,6.0516,3.8622,0.8855999999999999,0.0,2.4649,0.5652,0.0,0.1296,0.0,0.0,2
46,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.87,1.59,41.45,2.0,1.08,1.0,0.19,1.55,356.0769,30.003300000000003,782.1615,37.74,20.379600000000003,18.87,3.5853,29.248500000000003,2.5281000000000002,65.9055,3.18,1.7172000000000003,1.59,0.30210000000000004,2.4645,1718.1025000000002,82.9,44.766000000000005,41.45,7.875500000000001,64.2475,4.0,2.16,2.0,0.38,3.1,1.1664,1.08,0.20520000000000002,1.6740000000000002,1.0,0.19,1.55,0.0361,0.29450000000000004,2.4025000000000003,0
47,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.81,1.61,67.14,1.87,3.37,2.56,1.21,0.27,475.67609999999996,35.1141,1464.3234,40.7847,73.4997,55.8336,26.390099999999997,5.8887,2.5921000000000003,108.09540000000001,3.0107000000000004,5.425700000000001,4.1216,1.9481000000000002,0.43470000000000003,4507.7796,125.55180000000001,226.26180000000002,171.8784,81.2394,18.1278,3.4969000000000006,6.301900000000001,4.7872,2.2627,0.5049,11.356900000000001,8.6272,4.0777,0.9099,6.5536,3.0976,0.6912,1.4641,0.3267,0.0729,5
48,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,33.79,1.68,102.52,2.81,2.37,1.0,1.98,0.0,1141.7640999999999,56.767199999999995,3464.1508,94.9499,80.0823,33.79,66.9042,0.0,2.8223999999999996,172.2336,4.7208,3.9816000000000003,1.68,3.3264,0.0,10510.3504,288.08119999999997,242.9724,102.52,202.9896,0.0,7.896100000000001,6.659700000000001,2.81,5.5638,0.0,5.6169,2.37,4.6926000000000005,0.0,1.0,1.98,0.0,3.9204,0.0,0.0,3
50,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,19.64,1.81,85.3,2.92,3.34,2.37,1.31,0.31,385.7296,35.5484,1675.292,57.3488,65.5976,46.546800000000005,25.7284,6.0884,3.2761,154.393,5.2852,6.0454,4.289700000000001,2.3711,0.5611,7276.089999999999,249.076,284.902,202.161,111.743,26.442999999999998,8.526399999999999,9.752799999999999,6.9204,3.8252,0.9052,11.1556,7.9158,4.3754,1.0353999999999999,5.6169,3.1047000000000002,0.7347,1.7161000000000002,0.4061,0.0961,5
51,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.75,1.67,104.77,3.0,3.0,1.53,0.18,0.75,663.0625,43.0025,2697.8275,77.25,77.25,39.3975,4.635,19.3125,2.7889,174.96589999999998,5.01,5.01,2.5551,0.3006,1.2525,10976.7529,314.31,314.31,160.2981,18.8586,78.5775,9.0,9.0,4.59,0.54,2.25,9.0,4.59,0.54,2.25,2.3409,0.2754,1.1475,0.0324,0.135,0.5625,4
52,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,22.85,1.67,85.57,2.07,1.77,2.43,0.04,1.0,522.1225000000001,38.1595,1955.2745,47.2995,40.444500000000005,55.52550000000001,0.914,22.85,2.7889,142.90189999999998,3.4568999999999996,2.9558999999999997,4.0581000000000005,0.0668,1.67,7322.224899999999,177.12989999999996,151.4589,207.9351,3.4227999999999996,85.57,4.2848999999999995,3.6639,5.0301,0.0828,2.07,3.1329000000000002,4.3011,0.0708,1.77,5.9049000000000005,0.09720000000000001,2.43,0.0016,0.04,1.0,2
53,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,22.58,1.85,121.56,3.0,2.27,1.56,0.8,0.0,509.85639999999995,41.772999999999996,2744.8248,67.74,51.2566,35.2248,18.064,0.0,3.4225000000000003,224.88600000000002,5.550000000000001,4.1995000000000005,2.886,1.4800000000000002,0.0,14776.8336,364.68,275.9412,189.6336,97.248,0.0,9.0,6.8100000000000005,4.68,2.4000000000000004,0.0,5.1529,3.5412000000000003,1.816,0.0,2.4336,1.2480000000000002,0.0,0.6400000000000001,0.0,0.0,3
54,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,30.4,1.7,102.82,2.79,2.13,1.25,0.65,1.04,924.16,51.68,3125.7279999999996,84.816,64.752,38.0,19.759999999999998,31.616,2.8899999999999997,174.79399999999998,4.743,3.6209999999999996,2.125,1.105,1.768,10571.952399999998,286.8678,219.00659999999996,128.52499999999998,66.833,106.9328,7.7841000000000005,5.942699999999999,3.4875,1.8135000000000001,2.9016,4.536899999999999,2.6624999999999996,1.3845,2.2152,1.5625,0.8125,1.3,0.42250000000000004,0.676,1.0816000000000001,3
