,PanelA_A,PanelA_B,PanelB_A,PanelB_B,PanelC_A,PanelC_B,PanelD_A,PanelD_B,PanelE_A,PanelE_B,PanelF_A,PanelF_B,PanelF_C,PanelF_D,PanelG_A,PanelG_B,PanelG_C,PanelG_D,PanelH_A,PanelH_B,PanelH_C,PanelH_D,PanelH_E,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Target
43,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,21.0,1.63,60.0,3.0,3.0,2.0,2.0,0.0,1
44,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,29.0,1.67,89.05,1.9,3.0,1.19,0.01,0.0,2
45,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,37.97,1.56,80.0,2.57,2.46,1.57,0.36,0.0,2
47,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.81,1.61,67.14,1.87,3.37,2.56,1.21,0.27,5
48,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,33.79,1.68,102.52,2.81,2.37,1.0,1.98,0.0,3
50,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,19.64,1.81,85.3,2.92,3.34,2.37,1.31,0.31,5
51,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.75,1.67,104.77,3.0,3.0,1.53,0.18,0.75,4
52,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,22.85,1.67,85.57,2.07,1.77,2.43,0.04,1.0,2
53,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,22.58,1.85,121.56,3.0,2.27,1.56,0.8,0.0,3
54,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,30.4,1.7,102.82,2.79,2.13,1.25,0.65,1.04,3
55,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,30.55,1.78,120.6,2.67,3.0,2.15,0.88,0.59,3
56,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,22.66,1.66,94.19,2.0,3.0,2.0,0.0,0.11,2
57,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,20.0,1.6,50.0,2.0,3.0,1.0,0.0,0.0,1
58,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,22.06,1.6,82.04,1.36,2.57,2.17,2.23,1.28,2
59,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.0,1.79,108.24,2.0,2.14,2.94,1.0,0.1,2
60,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,33.01,1.74,84.77,2.0,3.0,2.04,1.21,0.0,6
61,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.54,1.68,109.9,3.0,3.0,1.47,0.14,0.44,4
62,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.63,1.67,126.09,3.0,3.0,1.14,0.92,0.9,4
63,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,21.24,1.6,44.85,3.0,1.73,2.44,1.32,0.0,0
64,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.0,1.74,86.57,3.0,3.0,2.0,2.04,0.86,6
65,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,20.0,1.98,125.0,2.0,3.0,3.0,1.0,1.0,2
66,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,36.63,1.53,62.42,2.29,2.85,2.64,0.0,0.99,5
67,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.21,1.93,118.56,2.0,3.0,3.0,0.73,1.0,2
68,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.02,1.72,133.03,3.0,3.0,1.65,1.54,0.91,4
69,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.66,111.96,3.0,3.0,2.78,0.0,0.05,4
70,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,37.53,1.62,80.0,2.97,3.0,1.64,0.0,0.0,2
72,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,19.22,1.71,78.07,1.96,3.0,2.0,1.66,1.0,6
76,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.07,1.79,52.0,3.0,3.0,2.0,0.85,1.0,0
77,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,22.98,1.7,95.0,2.0,3.0,2.02,1.81,1.07,2
78,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,34.43,1.69,84.45,2.13,2.69,2.61,1.17,0.29,6
79,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,19.95,1.53,39.37,1.52,3.0,1.98,2.31,0.72,0
81,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.28,1.76,133.9,3.0,3.0,2.89,1.41,0.81,4
84,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.63,111.59,3.0,3.0,2.55,0.0,0.25,4
85,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,31.43,1.85,99.0,2.76,2.59,2.55,1.43,0.52,6
86,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,20.03,1.61,103.18,2.98,1.11,1.43,0.0,1.69,3
88,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,31.64,1.68,89.99,2.93,2.12,2.04,0.58,0.0,2
89,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.54,1.79,115.43,1.99,3.0,2.14,1.12,0.0,3
91,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,27.94,1.69,99.71,2.77,2.45,1.0,0.86,0.05,3
92,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.63,110.8,3.0,3.0,2.7,0.0,0.24,4
95,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,24.24,1.62,99.98,2.94,3.99,1.01,1.96,0.69,3
96,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,18.08,1.62,82.4,2.34,3.0,1.66,1.01,0.55,2
97,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,20.34,1.7,98.57,2.0,2.39,2.0,0.0,1.81,2
98,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.54,1.67,104.75,3.0,3.0,1.41,0.14,0.75,4
99,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,21.08,1.79,58.59,2.53,3.25,2.39,1.98,1.67,0
100,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,23.0,1.63,55.0,3.0,3.0,2.0,2.0,1.0,1
101,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,23.98,1.84,120.98,2.6,2.85,2.01,1.52,0.3,3
103,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,17.26,1.6,65.0,2.75,2.3,2.0,0.55,1.62,5
104,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,24.15,1.82,120.81,2.23,3.0,2.36,1.94,0.68,3
105,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,22.94,1.82,93.09,1.88,1.24,2.0,0.0,1.54,6
106,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,19.0,1.76,79.54,2.0,1.15,3.0,1.81,1.69,5
108,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,38.94,1.55,63.01,2.87,3.0,2.97,2.16,0.31,5
109,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.99,1.58,102.0,3.0,3.0,1.0,0.01,1.0,4
110,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,19.0,1.83,82.0,3.0,3.0,2.0,2.0,0.0,1
112,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.62,111.53,3.0,3.0,2.61,0.0,0.17,4
113,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,24.0,1.62,58.0,3.0,3.0,2.0,1.0,1.0,1
114,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,31.33,1.74,82.52,2.3,3.07,1.74,0.09,0.0,6
115,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.66,111.99,3.0,3.0,2.89,0.0,0.02,4
116,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,34.23,1.65,79.7,2.09,1.82,2.09,0.31,1.04,6
117,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,29.0,1.68,89.99,1.85,3.0,2.11,0.39,0.0,2
118,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.62,1.63,108.27,3.0,3.0,1.62,0.09,0.44,4
119,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,33.05,1.71,83.0,2.0,1.17,2.41,2.3,0.0,6
120,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,30.98,1.76,118.24,2.94,3.0,2.06,0.37,1.33,3
122,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,38.0,1.64,59.8,2.0,3.0,2.0,2.0,0.0,1
123,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,30.71,1.91,129.85,2.2,3.0,1.11,0.91,0.98,3
124,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.72,1.63,107.22,3.0,3.0,2.49,0.07,0.46,4
125,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,23.0,1.61,84.19,2.14,2.99,2.52,2.11,0.01,2
127,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.0,1.66,68.0,2.0,3.0,1.0,1.0,1.0,1
128,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,17.0,1.82,58.44,2.56,3.05,2.0,2.01,0.59,0
130,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,30.58,1.83,124.95,2.02,3.0,1.83,0.8,0.19,3
132,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.61,105.42,3.0,3.0,2.18,0.0,0.52,4
133,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.6,110.07,3.0,3.0,2.56,0.0,0.46,4
134,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,14.0,1.71,72.0,3.0,3.0,3.0,2.0,1.0,1
135,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,23.0,1.65,95.0,2.0,3.0,2.0,0.0,1.0,2
136,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,24.06,1.74,133.17,3.0,3.0,2.85,1.3,0.72,4
137,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,18.84,1.75,80.0,2.0,1.74,2.21,2.64,0.71,5
139,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,40.65,1.53,79.76,2.0,3.0,1.0,0.0,0.0,2
140,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,29.25,1.76,112.4,2.32,3.0,2.16,0.0,1.25,3
142,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.92,1.61,102.36,3.0,3.0,1.03,0.03,0.91,4
143,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,40.56,1.75,109.76,2.31,3.22,1.01,1.16,0.0,3
144,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,20.26,1.81,85.32,2.0,3.0,1.97,1.07,0.78,5
145,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.64,111.88,3.0,3.0,2.77,0.0,0.09,4
147,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,23.0,1.62,58.0,2.0,3.0,1.0,1.0,0.0,1
149,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,24.44,1.72,86.32,2.0,2.68,2.69,0.0,0.69,6
151,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,28.26,1.82,120.7,3.0,3.0,2.72,0.74,0.97,3
152,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,18.16,1.69,52.0,3.0,3.0,2.0,0.82,1.0,0
154,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,19.99,1.76,55.51,2.0,4.0,2.54,2.0,1.81,0
155,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,30.87,1.67,101.63,2.91,3.99,1.0,2.0,0.0,3
156,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.03,1.75,133.88,3.0,3.0,2.87,1.48,0.84,4
157,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,30.58,1.78,120.61,2.34,3.0,2.3,0.57,0.92,3
158,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,27.0,1.6,61.0,3.0,3.0,2.0,0.0,0.0,1
159,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.63,107.48,3.0,3.0,2.69,0.0,0.41,4
162,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,40.32,1.79,98.45,2.0,3.0,2.68,1.55,0.52,2
163,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.06,1.76,113.23,1.52,3.0,2.04,1.59,0.0,3
164,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,17.2,1.85,59.62,2.88,3.6,2.0,2.08,0.71,0
165,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.0,1.69,75.0,2.0,3.0,1.83,1.0,0.0,5
166,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.42,1.74,126.8,3.0,3.0,2.39,1.54,0.9,4
168,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,23.0,1.65,90.0,2.0,3.0,3.0,0.0,1.0,2
170,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.9,1.66,102.78,3.0,3.0,1.07,0.11,1.0,4
171,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,31.63,1.67,72.91,2.0,3.0,1.0,0.0,1.3,5
172,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,39.97,1.74,80.91,2.42,3.2,1.35,0.15,1.08,5
173,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.7,1.79,137.86,3.0,3.0,2.53,1.98,0.84,4
174,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,19.82,1.51,64.26,2.57,3.0,1.82,0.0,0.0,5
175,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,24.58,1.77,117.71,1.48,3.0,2.02,1.05,0.46,3
177,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,19.09,1.7,99.2,2.0,2.12,2.0,0.0,1.88,2
178,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.0,1.65,85.0,2.0,3.0,1.0,1.0,0.0,2
179,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.65,111.92,3.0,3.0,2.81,0.0,0.1,4
180,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.74,1.86,120.2,2.25,3.0,2.82,0.71,0.0,3
183,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,23.0,1.79,105.14,2.26,3.0,2.03,0.32,0.51,2
184,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,19.37,1.63,82.0,2.81,2.88,1.0,0.0,1.38,2
187,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,17.0,1.8,50.0,3.0,4.0,1.0,2.0,1.0,0
188,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,22.0,1.56,49.0,2.0,3.0,1.0,2.0,0.0,1
189,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,20.49,1.98,120.7,2.0,3.0,3.0,0.77,1.0,2
190,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,24.0,1.65,60.0,2.0,3.0,3.0,1.0,0.0,1
191,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,18.0,1.7,60.0,2.0,3.0,2.0,2.0,1.0,1
193,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,19.0,1.53,42.0,2.75,1.39,1.32,0.46,0.8,0
194,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.95,1.63,104.84,3.0,3.0,2.23,0.04,0.57,4
195,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,34.39,1.69,77.56,3.0,1.8,2.0,0.39,0.0,6
196,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.0,1.65,53.0,2.0,3.0,2.0,1.0,0.0,1
197,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,20.95,1.73,132.12,3.0,3.0,1.67,1.68,0.78,4
198,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.59,110.64,3.0,3.0,2.64,0.0,0.45,4
201,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,37.87,1.57,80.0,2.0,1.97,1.94,1.65,0.0,2
202,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,20.0,1.6,57.0,3.0,3.0,2.0,1.0,0.0,1
203,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,23.26,1.85,121.41,3.0,2.6,2.05,0.84,0.0,3
204,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,18.0,1.58,48.0,2.0,3.0,2.0,1.0,0.0,1
205,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,31.79,1.65,73.81,2.37,2.85,1.03,0.68,0.3,5
206,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,20.49,1.53,65.14,2.0,3.0,1.21,1.92,1.23,6
207,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.0,1.75,77.98,2.27,2.39,1.65,0.87,1.1,5
208,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,18.61,1.55,60.63,2.82,2.64,1.23,0.75,0.01,5
209,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,26.29,1.77,82.69,1.95,3.12,2.14,0.78,0.89,5
210,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,20.98,1.79,105.62,2.0,3.0,1.03,0.0,0.18,2
212,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.64,111.21,3.0,3.0,2.71,0.0,0.11,4
213,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,27.64,1.81,120.42,2.97,3.0,2.57,0.69,1.34,3
214,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.0,1.74,70.0,2.0,3.0,2.0,1.0,1.0,1
215,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,29.67,1.91,129.19,2.43,3.0,1.34,1.64,0.09,3
